Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Caesar Salad,250,9,4,20,4,480,15,3
House Salad,300,10,5,24,6,520,20,4
Spinach Salad,300,11,4,26,6,500,15,4
Southwest Bowl,450,20,6,60,8,720,25,10
"Pasta (GF pasta, chickpeas, roasted veggies, vegan mozzarella)",425,17,4,62,8,550,0,10
Plain Pizza,500,18,8,60,6,880,25,4
Buffalo Chicken Pizza,625,30,9,64,7,1020,55,4
Brown Rice,115,3,0,24,0,5,0,2
Steamed Potatoes,125,3,0,27,2,10,0,2
Steamed Vegetables,125,4,0,20,6,40,0,5
Sweet Potato Fries,120,2,2,24,6,150,0,3
Chocolate Brownie,190,2,3,28,20,110,20,2
Marshmallow Treat,260,2,4,56,28,170,10,0
